Fecha;Temperatura
1/03/2016;27,08
1/04/2016;25,41
1/05/2016;23,49
1/06/2016;22,99
1/07/2016;21,96
1/08/2016;22,76
1/09/2016;22,13
1/10/2016;22,19
1/11/2016;22,92
1/12/2016;22,39
1/01/2017;23,18
1/02/2017;23,75
1/03/2017;22,68
1/04/2017;23,57
1/05/2017;23,48
1/06/2017;22,79
1/07/2017;22,45
1/08/2017;22,59
1/09/2017;23,02
1/10/2017;23,02
1/11/2017;21,63
1/12/2017;22,53
1/01/2018;22,86
1/02/2018;24,03
1/03/2018;24,59
1/04/2018;22,81
1/05/2018;22,62
1/06/2018;22,09
1/07/2018;22,17
1/08/2018;22,63
1/09/2018;22,82
1/10/2018;21,84
1/11/2018;22,04
1/12/2018;22,77
1/01/2019;23,4
1/02/2019;24,37
1/03/2019;24,91
1/04/2019;23,84
1/05/2019;23,34
1/06/2019;22,7
1/07/2019;22,46
1/08/2019;23,07
1/09/2019;23,34
1/10/2019;22,48
1/11/2019;22,96
1/12/2019;23,4
1/01/2020;23,6
1/02/2020;24,85
1/03/2020;25,21
1/04/2020;24,31
1/05/2020;23,98
1/06/2020;22,63
1/07/2020;22,3
1/08/2020;22,92
1/09/2020;23,34
1/10/2020;22,95
1/11/2020;22,23
1/12/2020;22,82
1/01/2021;23,68
1/02/2021;23,77
1/03/2021;23,38
1/04/2021;24,33
1/05/2021;25,24
1/06/2021;24,16
1/07/2021;26,32
1/08/2021;23,79
1/09/2021;24,29
1/10/2021;23,97
1/11/2021;22,44
1/12/2021;22,73
1/01/2022;23,13
1/02/2022;23,48
1/03/2022;23,97
1/04/2022;22,4
1/05/2022;22,72
1/06/2022;21,03
1/07/2022;22,05
1/08/2022;22,62
1/09/2022;22,43
1/10/2022;22,44
1/11/2022;22,78
1/12/2022;22,55
1/01/2023;23,23
1/02/2023;23,66
1/03/2023;23,38
1/04/2023;23,55
1/05/2023;24,55
1/06/2023;23,05
1/07/2023;22,75
1/08/2023;23,2
1/09/2023;23,4
1/10/2023;23,48
1/11/2023;23,39
1/12/2023;23,78
1/01/2024;26,49
1/02/2024;27,42
1/03/2024;27,59
1/04/2024;26,33
1/05/2024;23,18
1/06/2024;24,21
1/07/2024;23,13
1/08/2024;23,23
1/09/2024;23,91
1/10/2024;22,86
1/11/2024;22,54
1/12/2024;22,95
1/01/2025;23,1
1/02/2025;23,05
1/03/2025;23,58
1/04/2025;23,68
1/05/2025;22,88
1/06/2025;22,68
1/07/2025;22,56
